,Date,SPG_High_Prices,SPG_Low_Prices,SPG_Closed_Prices
240,2022-03-24,37.27,35.96,37.26
241,2022-03-23,36.79,36.07,36.22
242,2022-03-22,37.24,36.33,36.98
243,2022-03-21,37.23,35.88,36.09
244,2022-03-18,37.925,36.38,37.68
245,2022-03-17,37.15,35.37,37.15
246,2022-03-16,36.945,35.44,36.93
247,2022-03-15,35.47,33.99,34.86
248,2022-03-14,33.2,31.65,32.07
249,2022-03-11,33.4,32.01,32.07
250,2022-03-10,33.41,31.52,32.55
251,2022-03-09,33.78,32.555,32.76
252,2022-03-08,32.74,29.75,31.22
253,2022-03-07,34.2,29.98,30.11
254,2022-03-04,35.87,34.165,34.52
255,2022-03-03,38.74,36.38,36.56
256,2022-03-02,38.775,37.85,38.04
257,2022-03-01,39.59,37.375,37.64
258,2022-02-28,40.36,39.02,39.92
259,2022-02-25,41.995,40.6412,41.54
260,2022-02-24,40.49,37.47,40.33
261,2022-02-23,42.39,40.11,40.19
262,2022-02-22,42.84,41.435,41.89
263,2022-02-18,43.675,42.7,42.84
264,2022-02-17,44.13,42.945,43.31
265,2022-02-16,45.14,43.98,44.41
266,2022-02-15,44.75,43.33,44.49
267,2022-02-14,43.25,41.705,41.97
268,2022-02-11,44.8,41.92,42.33
269,2022-02-10,44.73,43.31,43.9
270,2022-02-09,44.505,42.85,43.88
271,2022-02-08,42.715,41.0,42.61
272,2022-02-07,41.29,40.425,40.94
273,2022-02-04,40.085,39.09,39.85
274,2022-02-03,40.6,39.68,39.73
275,2022-02-02,40.9599,39.7299,40.52
276,2022-02-01,40.57,39.5669,40.49
277,2022-01-31,39.72,37.658,39.69
278,2022-01-28,38.39,36.77,38.28
279,2022-01-27,40.03,38.03,38.34
280,2022-01-26,39.96,38.34,38.76
281,2022-01-25,38.87,37.3,38.72
282,2022-01-24,37.93,35.875,37.91
283,2022-01-21,38.83,37.36,37.86
284,2022-01-20,40.16,38.76,38.84
285,2022-01-19,39.8,38.73,38.82
286,2022-01-18,40.435,39.44,39.54
287,2022-01-14,40.86,39.55,40.31
288,2022-01-13,42.54,40.45,41.47
289,2022-01-12,41.5898,40.555,40.61
290,2022-01-11,41.5298,40.44,41.23
291,2022-01-10,41.8,40.1905,40.63
292,2022-01-07,41.97,40.44,41.51
293,2022-01-06,41.11,39.74,40.11
294,2022-01-05,41.28,40.15,40.28
295,2022-01-04,41.2758,40.325,40.59
296,2022-01-03,41.03,39.635,40.29
297,2021-12-31,39.46,38.925,39.08
298,2021-12-30,39.74,39.02,39.04
299,2021-12-29,39.49,38.99,39.16
300,2021-12-28,39.834,38.52,39.63
301,2021-12-27,39.18,37.86,39.0
302,2021-12-23,39.89,38.995,39.3
303,2021-12-22,39.47,38.17,39.13
304,2021-12-21,38.82,36.76,38.52
305,2021-12-20,37.25,35.39,36.37
306,2021-12-17,37.245,35.59,36.56
307,2021-12-16,37.6899,35.66,35.8
308,2021-12-15,36.8,35.54,36.61
309,2021-12-14,37.53,36.42,36.53
310,2021-12-13,37.62,36.42,36.87
311,2021-12-10,38.46,37.59,38.18
312,2021-12-09,38.8482,38.0,38.5
313,2021-12-08,39.89,38.03,38.88
314,2021-12-07,39.13,37.77,38.04
315,2021-12-06,39.33,37.0108,38.14
316,2021-12-03,37.6799,35.35,35.98
317,2021-12-02,36.67,33.7601,36.64
318,2021-12-01,37.34,33.4,33.53
319,2021-11-30,36.29,35.215,36.2
320,2021-11-29,37.35,35.97,36.24
321,2021-11-26,36.95,34.6,36.38
322,2021-11-24,40.07,38.92,39.69
323,2021-11-23,40.58,39.25,39.53
324,2021-11-22,40.19,39.22,39.77
325,2021-11-19,39.93,38.885,39.69
326,2021-11-18,40.77,39.435,40.12
327,2021-11-17,41.25,40.3,40.71
328,2021-11-16,42.19,40.9,41.04
329,2021-11-15,42.94,42.14,42.38
330,2021-11-12,43.53,41.87,42.22
331,2021-11-11,44.235,43.45,43.45
332,2021-11-10,44.47,43.53,43.71
333,2021-11-09,44.57,43.72,44.53
334,2021-11-08,45.52,44.5,44.65
335,2021-11-05,44.415,43.26,44.29
336,2021-11-04,41.4899,40.58,40.99
337,2021-11-03,41.3499,40.03,41.24
338,2021-11-02,40.5,39.83,40.39
339,2021-11-01,40.45,38.91,40.42
340,2021-10-29,39.5,38.81,39.13
341,2021-10-28,39.37,38.83,39.15
342,2021-10-27,39.93,39.015,39.07
343,2021-10-26,40.29,39.46,39.71
344,2021-10-25,39.91,39.37,39.51
345,2021-10-22,40.3941,39.65,39.74
346,2021-10-21,40.75,40.02,40.4
347,2021-10-20,41.07,39.91,40.3
348,2021-10-19,41.07,40.34,40.45
349,2021-10-18,41.41,40.52,41.01
350,2021-10-15,42.27,40.95,40.99
351,2021-10-14,41.49,40.88,41.2
352,2021-10-13,42.74,40.89,41.03
353,2021-10-12,43.805,42.77,43.54
