,Date,DAL_High_Prices,DAL_Low_Prices,DAL_Closed_Prices
256,2022-03-02,139.73,135.92,138.77
257,2022-03-01,138.34,133.44,134.6
258,2022-02-28,139.9,136.56,137.56
259,2022-02-25,140.1499,137.67,139.7
260,2022-02-24,138.18,129.35,137.82
261,2022-02-23,140.3241,133.4317,134.07
262,2022-02-22,140.39,136.73,138.05
263,2022-02-18,144.11,140.49,140.95
264,2022-02-17,146.77,143.02,143.67
265,2022-02-16,144.29,141.31,143.86
266,2022-02-15,142.9,140.54,141.32
267,2022-02-14,142.3,139.06,139.9
268,2022-02-11,146.39,140.58,141.83
269,2022-02-10,147.5,141.26,143.98
270,2022-02-09,144.0449,141.45,143.09
271,2022-02-08,144.5974,137.77,142.04
272,2022-02-07,149.8,144.89,148.92
273,2022-02-04,146.81,141.75,145.18
274,2022-02-03,149.1899,145.34,145.56
275,2022-02-02,149.98,146.91,149.55
276,2022-02-01,148.66,145.04,147.36
277,2022-01-31,147.6,143.61,147.2
278,2022-01-28,146.44,139.67,146.4
279,2022-01-27,149.46,143.1,143.89
280,2022-01-26,151.87,143.76,145.58
281,2022-01-25,148.96,140.84,146.78
282,2022-01-24,146.23,137.75,146.1
283,2022-01-21,147.54,144.56,146.96
284,2022-01-20,152.75,147.1893,147.43
285,2022-01-19,154.89,148.53,148.59
286,2022-01-18,154.3,150.86,153.89
287,2022-01-14,162.09,152.48,155.7
288,2022-01-13,164.24,162.25,162.99
289,2022-01-12,163.65,161.76,161.93
290,2022-01-11,162.61,158.07,161.83
291,2022-01-10,160.99,157.0879,160.88
292,2022-01-07,163.9,161.05,161.27
293,2022-01-06,164.52,160.76,163.16
294,2022-01-05,165.83,160.96,161.03
295,2022-01-04,163.88,161.8,162.98
296,2022-01-03,162.6,158.87,160.3
297,2021-12-31,161.69,159.51,159.77
298,2021-12-30,161.87,158.5361,160.04
299,2021-12-29,159.3,156.77,158.76
300,2021-12-28,159.25,156.75,157.77
301,2021-12-27,158.48,154.4807,158.43
302,2021-12-23,157.3827,155.265,155.46
303,2021-12-22,156.01,153.53,155.53
304,2021-12-21,154.89,148.07,154.47
305,2021-12-20,148.69,143.63,146.27
306,2021-12-17,152.86,148.43,150.73
307,2021-12-16,154.839,151.04,151.66
308,2021-12-15,152.19,147.21,152.04
309,2021-12-14,152.21,149.85,150.93
310,2021-12-13,152.07,147.5416,151.1
311,2021-12-10,153.65,150.04,152.42
312,2021-12-09,155.58,152.2,152.24
313,2021-12-08,158.44,155.38,157.45
314,2021-12-07,158.7,154.945,156.25
315,2021-12-06,155.51,151.52,152.6
316,2021-12-03,152.79,147.36,149.19
317,2021-12-02,153.9776,148.37,151.86
318,2021-12-01,158.83,147.64,147.72
319,2021-11-30,157.81,151.75,152.84
320,2021-11-29,164.68,157.44,159.94
321,2021-11-26,162.8,158.28,160.48
322,2021-11-24,169.235,166.63,169.03
323,2021-11-23,170.71,167.2,169.03
324,2021-11-22,170.645,167.01,167.99
325,2021-11-19,168.475,165.86,166.74
